,metascore,name,console,userscore,date,genre(s),developer,publisher,rating,esrb descriptors,number of online players,special controllers,number of players,official site,franchise
0,97,Grand Theft Auto V,PS3,8.3,"Sep 17, 2013","Action Adventure, Modern, Open-World",Rockstar North,Rockstar Games,M, ,Up to 16 Players, , ,http://www.rockstargames.com/,Grand Theft Auto Series
1,97,Grand Theft Auto V,X360,8.3,"Sep 17, 2013","Action Adventure, Modern, Open-World",Rockstar North,Rockstar Games,M, ,Up to 16 Players, , ,http://www.rockstargames.com/,Grand Theft Auto Series
2,95,The Last of Us,PS3,9.2,"Jun 14, 2013","Action Adventure, Adventure, General, Modern",Naughty Dog,SCEA,M,Blood and Gore Intense Violence Sexual Themes Strong Language,Up to 8 Players, , ,http://www.lastofus.com/,
3,94,BioShock Infinite,PS3,8.5,"Mar 26, 2013","Action, Arcade, First-Person, Sci-Fi, Shooter",Irrational Games,2K Games,M,Blood and Gore Intense Violence Language Mild Sexual Themes Use of Alcohol and Tobacco,No Online Multiplayer,Move Compatible, ,http://www.bioshockinfinite.com/,BioShock Series
4,94,BioShock Infinite,PC,8.6,"Mar 25, 2013","Action, Arcade, First-Person, Sci-Fi, Shooter",Irrational Games,2K Games,M,Blood and Gore Intense Violence Language Mild Sexual Themes Use of Alcohol and Tobacco,No Online Multiplayer, , ,http://www.bioshockinfinite.com/,BioShock Series
5,93,BioShock Infinite,X360,8.5,"Mar 26, 2013","Action, Arcade, First-Person, Sci-Fi, Shooter",Irrational Games,2K Games,M,Blood and Gore Intense Violence Language Mild Sexual Themes Use of Alcohol and Tobacco,No Online Multiplayer, , ,http://www.bioshockinfinite.com/,BioShock Series
6,93,Super Mario 3D World,WIIU,8.9,"Nov 22, 2013","3D, Action, Platformer",Nintendo,Nintendo,E, ,No Online Multiplayer, ,1-4 Players, ,Mario Series
7,92,Fire Emblem: Awakening,3DS,9.1,"Feb 4, 2013","Fantasy, Strategy, Tactics, Turn-Based",Intelligent Systems,Nintendo,T,Alcohol Reference Fantasy Violence Mild Language Mild Suggestive Themes,No Online Multiplayer, , ,http://fireemblem.nintendo.com/,Fire Emblem Series
8,92,Rayman Legends,WIIU,8.7,"Sep 3, 2013","2D, Action, Platformer",Ubisoft Montpellier,Ubisoft,E10+,Cartoon Violence Comic Mischief Mild Cartoon Violence,No Online Multiplayer, , ,http://www.raymanlegends.com/,Rayman Series
9,91,Fez,PC,6.7,"May 1, 2013","2D, Action, Platformer",Polytron Corp.,Trapdoor,E, , , ,1 Player,http://www.kokoromi.org/,
10,91,Rayman Legends,PS3,8.7,"Sep 3, 2013","2D, Action, Platformer",Ubisoft Montpellier,Ubisoft,E10+,Cartoon Violence Comic Mischief Mild Cartoon Violence, , , ,http://www.raymanlegends.com/,Rayman Series
11,91,The Legend of Zelda: A Link Between Worlds,3DS,9,"Nov 22, 2013","Action Adventure, Action RPG, General, Open-World
, Role-Playing",Nintendo,Nintendo,E, ,No Online Multiplayer, , ,http://www.nintendo.com/,Legend of Zelda Series
12,91,flower,PS4,7.2,"Nov 15, 2013","General, Miscellaneous",Bluepoint Games,SCEA,E, , , ,1 Player,http://thatgamecompany.com/games/flower/,
13,90,Spelunky,PC,7.3,"Aug 8, 2013","2D, Action, Platformer",Derek Yu,Mossmouth, , ,No Online Multiplayer, , ,http://www.spelunkyworld.com/,
14,90,The Legend of Zelda: The Wind Waker HD,WIIU,8.9,"Sep 20, 2013","Action Adventure, Fantasy, Open-World","Nintendo, HexaDrive",Nintendo,E10+, ,No Online Multiplayer, ,1 Player, ,Legend of Zelda Series
15,90,Brothers: A Tale of Two Sons,PC,8.6,"Sep 3, 2013","Action Adventure, Fantasy, Linear",Starbreeze,505 Games,T,Blood Crude Humor Violence,No Online Multiplayer, , ,http://www.brothersthegame.com/,
16,90,Dota 2,PC,6.5,"Jul 9, 2013","Fantasy, General, MOBA, Real-Time, Strategy",Valve Software,Valve Software, , ,Up to 10 Players,HTC Vive, ,http://www.dota2.com/,
17,90,Rayman Legends,X360,8.2,"Sep 3, 2013","2D, Action, Platformer",Ubisoft Montpellier,Ubisoft,E10+,Cartoon Violence Comic Mischief Mild Cartoon Violence, , , ,http://www.raymanlegends.com/,Rayman Series
18,89,Skylanders Swap Force,WIIU,6.1,"Oct 13, 2013","3D, Action, Platformer",Vicarious Visions,Activision,E10+, , , , , ,Skylanders Series
19,89,Rocksmith 2014 Edition,PC,7.9,"Oct 22, 2013","Action, Miscellaneous, Music, Rhythm",Ubisoft,Ubisoft,T, ,No Online Multiplayer, , , ,Rocksmith Series
20,88,Spelunky,VITA,7.9,"Aug 27, 2013","2D, Action, Platformer",Mossmouth,Mossmouth,T, , , , ,http://www.spelunkyworld.com/,
21,88,Deus Ex: Human Revolution - Director's Cut,WIIU,8.5,"Oct 22, 2013","Action Adventure, General, Sci-Fi","Eidos Montreal, Straight Right",Square Enix,M,Blood Drug Reference Intense Violence Sexual Themes Strong Language Use of Alcohol, , ,1 Player,http://www.deusex3.com/,Deus Ex Series
22,88,Crusader Kings II: The Old Gods,PC,8.7,"May 28, 2013","General, Historic, Real-Time, Strategy",Paradox Development Studio,Paradox Interactive, , , , , ,http://www.crusaderkings.com/,Crusader Kings Series
23,88,FIFA 14,XONE,5.8,"Nov 19, 2013","Sim, Soccer, Sports, Team, Traditional",EA Canada,EA Sports,E, ,Up to 22 Players, , ,http://www.ea.com/soccer/fifa14,FIFA Soccer Series
24,88,Assassin's Creed IV: Black Flag,PS3,8.2,"Oct 29, 2013","Action Adventure, Historic, Open-World",Ubisoft,Ubisoft,M, ,Up to 8 Players, , ,http://assassinscreed.ubi.com/,Assassin\'s Creed Series
25,88,Star Wars Pinball: Balance of the Force,X360,6.1,"Oct 16, 2013","Action, Miscellaneous, Parlor, Pinball",Zen Studios,Zen Studios,E10+, , , ,1 Player,http://www.starwarspinball.com/,Star Wars Series
26,88,XCOM: Enemy Within,X360,7.6,"Nov 12, 2013","General, Sci-Fi, Strategy, Turn-Based",Firaxis Games,2K Games,M,Blood and Gore Strong Language Violence, , , ,http://www.xcom.com/,X COM Series
27,88,Pokemon Y,3DS,8.6,"Oct 12, 2013","Console-style RPG, Role-Playing, Trainer",Game Freak,Nintendo,E, ,Up to 4 Players, , , ,Pokemon Series
28,88,The Stanley Parable,PC,8,"Oct 17, 2013","3D, Action, Adventure, First-Person, General, Modern",Davey Wreden,Galactic Cafe, , ,No Online Multiplayer, , ,http://www.galactic-cafe.com/the-stanley-parable-hd-remix/,
29,88,Guacamelee! Gold Edition,PC,7.3,"Aug 8, 2013","2D, Action, Platformer",DrinkBox Studios,DrinkBox Studios, , ,No Online Multiplayer, , , ,
30,88,Animal Crossing: New Leaf,3DS,8.7,"Jun 9, 2013","Miscellaneous, Simulation, Virtual, Virtual Life",Nintendo,Nintendo,E,Comic Mischief,Up to 4 Players,Stereoscopic (3D), , ,Animal Crossing Series
31,87,Rocksmith 2014 Edition,X360,7.5,"Oct 22, 2013","Action, Miscellaneous, Music, Rhythm",Ubisoft,Ubisoft,T, , , , , ,Rocksmith Series
32,87,Pokemon X,3DS,8.6,"Oct 12, 2013","Console-style RPG, Role-Playing, Trainer",Game Freak,Nintendo,E, ,Up to 4 Players, , , ,Pokemon Series
33,87,Guacamelee!,VITA,8.3,"Apr 9, 2013","2D, Action, Platformer",DrinkBox Studios,DrinkBox Studios,E10+, , , , ,http://www.guacamelee.com/,
34,87,The Swapper,PC,8.7,"May 30, 2013","2D, Action, Platformer",Facepalm Games,Facepalm Games, , ,No Online Multiplayer, , ,http://facepalmgames.com/the-swapper/,
35,87,Tomb Raider,PS3,8.4,"Mar 5, 2013","Action Adventure, General, Linear, Modern","Crystal Dynamics, Nixxes Software",Square Enix,M,Blood and Gore Intense Violence Strong Language,Up to 8 Players, , ,http://www.tombraider.com/,Tomb Raider Series
36,87,Rayman Legends,VITA,8.4,"Sep 3, 2013","2D, Action, Platformer",Ubisoft Montpellier,Ubisoft,E10+,Cartoon Violence Comic Mischief Mild Cartoon Violence,2 Players, , ,http://www.raymanlegends.com/,Rayman Series
37,87,Tearaway,VITA,8.9,"Nov 22, 2013","Adventure, General",Media Molecule,SCEA,E, , , , ,http://tearaway.mediamolecule.com/,
38,87,MLB 13: The Show,PS3,7.9,"Mar 5, 2013","Baseball, Sim, Sports, Team, Traditional",SCEA San Diego Studios,SCEA,E, , ,Move Compatible, ,https://www.theshownation.com/,MLB: The Show Series
39,87,FIFA 14,PS4,6.3,"Nov 12, 2013","Sim, Soccer, Sports, Team, Traditional",EA Canada,EA Sports,E, ,Up to 22 Players, , ,http://www.ea.com/soccer/fifa14,FIFA Soccer Series
40,87,Hotline Miami,PS3,8.3,"Jun 25, 2013","Action, Action Adventure, General, Linear","Abstraction Games, Dennaton",Devolver Digital,M,Blood and Gore Crude Humor Drug Reference Intense Violence Partial Nudity Strong Language Use of Tobacco, , , ,http://www.hotlinemiami.com/,
41,87,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,X360,7.4,"Feb 27, 2013","Action, Miscellaneous, Music, Rhythm",Gaijin Games,Aksys Games,T,Crude Humor, , , ,http://www.runner2.com/,Bit.Trip Series
42,87,Pinball FX 2: Star Wars Pinball,X360,6.4,"Feb 27, 2013","Action, Miscellaneous, Parlor, Pinball",Zen Studios,Microsoft Game Studios,E, , , , , ,Star Wars Series
43,87,Europa Universalis IV,PC,8.8,"Aug 13, 2013","General, Historic, Real-Time, Strategy",Paradox Development Studio,Paradox Interactive,T, ,32 Players Online Online Multiplayer, , ,http://www.paradoxplaza.com/games/europa-universalis-iv,Europa Universalis Series
44,87,Diablo III,X360,6.7,"Sep 3, 2013","Action RPG, Role-Playing",Blizzard Entertainment,Blizzard Entertainment,M,Blood and Gore Violence,Up to 4 Players, , ,http://www.blizzard.com/diablo3/,Diablo Series
45,87,Pikmin 3,WIIU,8.7,"Aug 4, 2013","Fantasy, General, Real-Time, Strategy",Nintendo,Nintendo,E10+,Mild Cartoon Violence, , ,1 Player 1-2 Players,http://www.nintendo.com/games/detail/5NLPKm0PujJNXboKgTR5hd_fB5igNwEJ,Pikmin Series
46,87,Velocity Ultra,VITA,7.9,"Jul 2, 2013","Action, General, Scrolling u""Shoot-Em-Up"", Shooter, Vertical",FuturLab,FuturLab,E,Alcohol Reference Mild Fantasy Violence, , , ,http://www.futurlab.co.uk/,
47,87,NBA 2K14,X360,4.9,"Oct 1, 2013","Basketball, Sim, Sports, Team, Traditional",Visual Concepts,2K Sports,E, , , , , ,NBA 2K Basketball Series
48,86,Gone Home,PC,5.4,"Aug 15, 2013","3D, Adventure, First-Person, Sci-Fi",The Fullbright Company,The Fullbright Company, , ,No Online Multiplayer, , , ,
49,86,Pac-Man Championship Edition DX +,PC,7.5,"Sep 24, 2013","Action, Arcade, General",Namco Bandai Games,Namco Bandai Games,E, , , , ,http://pacman.com/,Pac Man Series
50,86,Out of the Park Baseball 14,PC,8.2,"Apr 15, 2013","Baseball, Management, Sports, Traditional",Out Of The Park Developments,Out Of The Park Developments, , , , ,1 Player,http://www.ootpdevelopments.com/out-of-the-park-baseball/index.php,Out of the Park Baseball Series
51,86,NBA 2K14,XONE,5.7,"Nov 12, 2013","Basketball, Sim, Sports, Team, Traditional",Visual Concepts,2K Sports,E, ,Up to 10 Players, , , ,NBA 2K Basketball Series
52,86,Saints Row IV,PC,7.4,"Aug 19, 2013","Action Adventure, Modern, Open-World",Volition Inc.,Deep Silver,M, , , , ,http://www.saintsrow.com/,Saints Row Series
53,86,Need for Speed: Most Wanted U,WIIU,7.7,"Mar 19, 2013","Automobile, Driving, GT / Street, Racing, Simulation",Criterion Games,Electronic Arts,E10+,Alcohol Reference Comic Mischief Violence, ,Kinect Compatible, , ,Need for Speed Series
54,86,Tomb Raider,X360,8.6,"Mar 5, 2013","Action Adventure, General, Linear, Modern",Crystal Dynamics,Square Enix,M,Blood and Gore Intense Violence Strong Language,Up to 8 Players, , ,http://www.tombraider.com/,Tomb Raider Series
55,86,Borderlands 2: Tiny Tina's Assault on Dragon Keep,X360,8.4,"Jun 25, 2013","Action, Arcade, First-Person, Sci-Fi, Shooter",Gearbox Software,2K Games,M,Blood and Gore Intense Violence Language Sexual Themes Use of Alcohol, , , ,http://www.borderlands2.com/,Borderlands Series
56,97,Grand Theft Auto V,XONE,7.8,"Nov 18, 2014","Action Adventure, Modern, Open-World",Rockstar North,Rockstar Games,M, ,Up to 30 Players, , ,http://www.rockstargames.com/,Grand Theft Auto Series
57,86,Starcraft II: Heart of the Swarm,PC,7.9,"Mar 12, 2013","Command, Real-Time, Sci-Fi, Strategy",Blizzard Entertainment,Blizzard Entertainment,T,Blood and Gore Language Suggestive Themes Use of Alcohol and Tobacco Violence, , , ,http://www.starcraft2.com/,Starcraft Series
58,86,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PS3,8,"Mar 5, 2013","Action, Miscellaneous, Music, Rhythm",Gaijin Games,Aksys Games,T,Crude Humor, , , ,http://www.runner2.com/,Bit.Trip Series
59,86,Brothers: A Tale of Two Sons,X360,8.7,"Aug 7, 2013","Action Adventure, Fantasy, Linear",Starbreeze,505 Games,T,Blood Crude Humor Violence, , , ,http://www.brothersthegame.com/,
60,86,Tomb Raider,PC,8.5,"Mar 4, 2013","Action Adventure, General, Linear, Modern","Crystal Dynamics, Nixxes Software",Square Enix,M,Blood and Gore Intense Violence Strong Language, , , ,http://www.tombraider.com/,Tomb Raider Series
61,86,DmC: Devil May Cry,X360,5.1,"Jan 15, 2013","Action, Action Adventure, Fantasy, General, Linear",Ninja Theory,Capcom,M,Blood and Gore Drug Reference Fantasy Violence Intense Violence Mild Blood Nudity Sexual Content Strong Language Use of Tobacco,No Online Multiplayer, , ,http://www.devilmaycry.com/,Devil May Cry Series
62,86,Assassin's Creed IV: Black Flag,X360,7.9,"Oct 29, 2013","Action Adventure, Historic, Open-World",Ubisoft,Ubisoft,M, ,Up to 8 Players, , ,http://assassinscreed.ubi.com/,Assassin\'s Creed Series
63,86,Minecraft: PlayStation 3 Edition,PS3,6.7,"Dec 17, 2013","3D, Action Adventure, Adventure, Fantasy, First-Person
, Sandbox","4J Studios, Mojang AB",SCEA,E10+,Fantasy Violence,Up to 8 Players, , ,http://www.minecraft.net/,Minecraft Series
64,86,Diablo III,PS3,6.4,"Sep 3, 2013","Action RPG, Role-Playing",Blizzard Entertainment,Blizzard Entertainment,M,Blood and Gore Violence,Up to 4 Players, , ,http://www.blizzard.com/diablo3/,Diablo Series
65,86,Rocksmith 2014 Edition,PS3,8.4,"Oct 22, 2013","Action, Miscellaneous, Music, Rhythm",Ubisoft,Ubisoft,T, , , , , ,Rocksmith Series
